"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2025","19,223.6","19,270.2","19,327.6","19,198.2","","-0.24%"
"08/29/2025","19,270.2","19,095.1","19,309.0","19,050.9","","0.92%"
"08/28/2025","19,095.1","19,040.6","19,121.2","18,996.7","","0.29%"
"08/27/2025","19,040.6","18,971.7","19,048.0","18,935.1","","0.37%"
"08/26/2025","18,970.1","18,886.9","19,010.0","18,870.7","","0.45%"
"08/25/2025","18,885.3","19,144.8","19,165.2","18,858.5","","-1.36%"
"08/22/2025","19,144.8","18,900.4","19,188.9","18,896.3","","1.30%"
"08/21/2025","18,899.6","18,956.5","18,994.8","18,890.6","","-0.29%"
"08/20/2025","18,954.1","18,913.9","18,990.7","18,878.2","","0.20%"
"08/19/2025","18,915.5","18,844.2","19,014.3","18,807.8","","0.38%"
"08/18/2025","18,843.4","18,897.5","18,937.1","18,836.1","","-0.32%"
"08/15/2025","18,904.0","18,767.1","18,932.2","18,761.5","","0.74%"
"08/14/2025","18,765.5","18,955.9","18,972.9","18,738.1","","-1.01%"
"08/13/2025","18,956.7","19,011.9","19,032.3","18,935.6","","-0.28%"
"08/12/2025","19,010.3","18,898.4","19,050.2","18,887.3","","0.59%"
"08/11/2025","18,898.4","18,964.0","19,000.7","18,856.9","","-0.33%"
"08/08/2025","18,961.6","19,003.1","19,045.3","18,943.6","","-0.22%"
"08/07/2025","19,003.1","19,074.9","19,086.4","18,913.5","","-0.38%"
"08/06/2025","19,074.9","18,956.6","19,090.5","18,927.7","","0.60%"
"08/05/2025","18,960.7","18,964.9","18,993.6","18,880.4","","-0.02%"
"08/04/2025","18,964.9","19,092.9","19,123.5","18,928.0","","-0.73%"
"08/01/2025","19,104.5","18,783.4","19,124.3","18,766.1","","1.71%"
"07/31/2025","18,784.2","18,690.3","18,857.8","18,689.5","","0.48%"
"07/30/2025","18,693.6","18,930.7","18,973.4","18,685.4","","-1.24%"
"07/29/2025","18,929.1","18,937.2","19,015.3","18,882.4","","-0.04%"
"07/28/2025","18,936.4","19,166.9","19,209.2","18,929.9","","-1.15%"
"07/25/2025","19,157.1","19,132.4","19,202.0","19,093.4","","0.13%"
"07/24/2025","19,132.4","19,176.6","19,200.0","19,102.3","","-0.23%"
"07/23/2025","19,176.6","19,170.8","19,183.9","19,075.6","","0.03%"
"07/22/2025","19,171.6","19,075.4","19,182.2","19,040.2","","0.50%"
"07/21/2025","19,075.4","18,940.4","19,112.1","18,920.8","","0.72%"
"07/18/2025","18,938.8","18,935.5","19,014.5","18,923.3","","0.01%"
"07/17/2025","18,936.3","18,939.9","18,980.3","18,843.6","","0.03%"
"07/16/2025","18,930.1","18,861.6","19,071.7","18,811.4","","0.35%"
"07/15/2025","18,863.2","18,953.0","19,034.1","18,848.6","","-0.45%"
"07/14/2025","18,949.0","18,896.8","19,003.4","18,884.7","","0.00%"
"07/11/2025","18,949.5","18,979.0","18,990.4","18,919.8","","-0.15%"
"07/10/2025","18,978.2","19,031.3","19,085.1","18,915.8","","-0.31%"
"07/09/2025","19,037.8","19,001.2","19,062.9","18,984.4","","0.20%"
"07/08/2025","19,000.4","19,004.5","19,115.5","18,931.5","","-0.01%"
"07/07/2025","19,002.9","19,063.5","19,122.7","18,968.0","","-0.32%"
"07/04/2025","19,064.3","19,034.6","19,102.0","19,028.1","","0.16%"
"07/03/2025","19,033.8","19,160.8","19,180.3","18,971.4","","-0.66%"
"07/02/2025","19,160.8","19,114.7","19,168.9","19,077.1","","0.24%"
"07/01/2025","19,114.7","19,136.2","19,170.3","19,038.0","","-0.12%"
"06/30/2025","19,137.0","18,982.2","19,139.4","18,972.9","","0.77%"
"06/27/2025","18,991.1","18,952.2","19,047.8","18,927.1","","0.17%"
"06/26/2025","18,959.5","18,992.5","19,044.8","18,928.3","","-0.18%"
"06/25/2025","18,993.3","18,981.5","19,018.3","18,880.1","","0.06%"
"06/24/2025","18,981.5","19,084.7","19,138.3","18,931.5","","-0.54%"
"06/23/2025","19,084.7","18,810.8","19,092.9","18,769.0","","1.09%"
"06/20/2025","18,879.6","18,846.1","18,917.4","18,834.1","","0.18%"
"06/19/2025","18,846.1","18,718.1","18,855.1","18,665.9","","0.71%"
"06/18/2025","18,714.0","18,690.3","18,810.1","18,679.7","","0.13%"
"06/17/2025","18,690.3","18,813.7","18,849.0","18,680.5","","-0.61%"
"06/16/2025","18,805.6","18,788.1","18,891.8","18,780.0","","-0.10%"
"06/13/2025","18,824.8","18,803.4","18,857.0","18,721.3","","0.09%"
"06/12/2025","18,808.3","18,680.3","18,884.6","18,668.1","","0.73%"
"06/11/2025","18,672.9","18,591.7","18,692.4","18,545.8","","0.45%"
"06/10/2025","18,588.5","18,587.7","18,626.7","18,513.1","","0.00%"
"06/09/2025","18,589.3","18,552.7","18,617.8","18,530.7","","0.24%"
"06/06/2025","18,545.4","18,625.9","18,647.9","18,505.5","","-0.44%"
"06/05/2025","18,626.7","18,599.1","18,708.9","18,553.9","","0.15%"
"06/04/2025","18,599.1","18,518.5","18,628.4","18,516.9","","0.44%"
"06/03/2025","18,517.7","18,585.9","18,645.6","18,505.5","","-0.38%"
"06/02/2025","18,587.5","18,477.8","18,602.2","18,476.9","","0.55%"
"05/30/2025","18,485.9","18,514.4","18,555.1","18,428.1","","-0.21%"
"05/29/2025","18,525.0","18,401.2","18,546.2","18,261.1","","0.70%"
"05/28/2025","18,396.3","18,434.3","18,475.3","18,379.2","","-0.21%"
"05/27/2025","18,435.1","18,494.1","18,532.7","18,424.5","","-0.32%"
"05/26/2025","18,494.1","18,432.0","18,526.5","18,422.3","","0.34%"
"05/23/2025","18,431.2","18,421.1","18,484.7","18,320.9","","0.05%"
"05/22/2025","18,421.1","18,578.8","18,598.5","18,379.4","","-0.84%"
"05/21/2025","18,577.2","18,521.0","18,633.1","18,504.5","","0.30%"
"05/20/2025","18,521.0","18,464.0","18,526.8","18,416.3","","0.26%"
"05/19/2025","18,473.1","18,364.3","18,547.8","18,362.7","","0.66%"
"05/16/2025","18,352.8","18,477.8","18,511.7","18,298.5","","-0.68%"
"05/15/2025","18,478.6","18,497.9","18,555.4","18,447.3","","-0.09%"
"05/14/2025","18,494.6","18,472.0","18,645.2","18,466.3","","0.12%"
"05/13/2025","18,472.9","18,308.5","18,488.5","18,305.2","","0.88%"
"05/12/2025","18,311.0","18,527.4","18,568.6","18,273.8","","-1.43%"
"05/09/2025","18,576.1","18,519.5","18,650.4","18,490.6","","0.31%"
"05/08/2025","18,519.5","18,684.6","18,784.8","18,492.3","","-0.91%"
"05/07/2025","18,690.3","18,702.8","18,823.2","18,629.6","","-0.08%"
